ISIN,Fund Name,Weight %,Holdings As of,HDFC Bank %,HDFC AMC %,HDFC Life Ins %,HDB Financial %,ICICI Bank %,ICICI Pru AMC %,ICICI Pru Life %,ICICI Lombard %,HDFC Group Total %,ICICI Group Total %,Status
INF179K01AS4,INF179K01AS4,0.89,7/31/2026,8.7363,0,0.9742,0.4674,7.1385,0,0,0,10.1779,7.1385,OK
INF109K01BH2,INF109K01BH2,5,7/31/2026,5.2847,0.8613,0.3154,0,3.7398,0,0,0.2427,6.4614,3.9825,OK
INF179K01AM7,INF179K01AM7,16.42,7/31/2026,11.4602,0,0.5736,0,3.0288,0,0,0,12.0338,3.0288,OK
INF200KA1DA4,INF200KA1DA4,8.04,7/31/2026,8.71,0.1302,2.8681,0,12.3468,0,0,0,11.7083,12.3468,OK
INF109KA14I5,INF109KA14I5,14.41,7/31/2026,15.0711,0,1.7126,0,2.6354,0,0,0.0844,16.7837,2.7198,OK
INF174K01C78,INF174K01C78,15.99,7/31/2026,6.4549,0,0,0.1828,3.901,0,0,0,6.6377,3.901,OK
INF109KC1RE6,INF109KC1RE6,5.87,7/31/2026,8.281,0,2.4754,0,6.2629,0.8084,0,2.3207,10.7563,9.392,OK
INF879O01019,INF879O01019,3.2,7/31/2026,8.0126,0,0,0,5.6926,0,0,0,8.0126,5.6926,OK
INF179K01608,INF179K01608,5.87,7/31/2026,6.1081,0,0,0,9.2091,0.1956,0,0,6.1081,9.4046,OK
INF247L01AH0,INF247L01AH0,1.33,7/31/2026,0,0,0,0,0,0,0,0,0,0,OK
INF247L01700,INF247L01700,1.33,7/31/2026,0,0,0,0,0,0,0,0,0,0,OK
INF205K01247,INF205K01247,4.67,7/31/2026,0,0,0,0,7.064,0,0,0,0,7.064,OK
INF109K01BL4,INF109K01BL4,0.83,7/31/2026,8.8298,1.0733,1.0728,0,9.1354,1.0376,0,0.4903,10.9758,10.6633,OK
INF204K01489,INF204K01489,0.16,7/31/2026,7.0996,0,0,0,4.4139,0.611,0,0,7.0996,5.0249,OK
INF740K01557,INF740K01557,4.22,8/15/2026,0,0,0,0,0,0,0,0,0,0,OK
INF109K01BH2,INF109K01BH2,0.27,7/31/2026,5.2847,0.8613,0.3154,0,3.7398,0,0,0.2427,6.4614,3.9825,OK
INF109K01761,INF109K01761,6.4,7/31/2026,8.2792,0,0.5877,0.3378,3.7605,0.761,0,0.4376,9.2047,4.959,OK
INF194K01391,INF194K01391,0.19,7/31/2026,8.395,0,1.7016,0,7.7122,1.1907,0,1.1789,10.0966,10.0818,OK
INF194K01391,INF194K01391,0.13,7/31/2026,8.395,0,1.7016,0,7.7122,1.1907,0,1.1789,10.0966,10.0818,OK
INF174KA1HS9,INF174KA1HS9,1,7/31/2026,3.8974,0,0,0,0,0,0,0,3.8974,0,OK
INF109K01AF8,INF109K01AF8,0.16,7/31/2026,9.4503,0,1.9538,0.1538,9.7728,0,0,1.0889,11.5579,10.8617,OK
INF109K01AF8,INF109K01AF8,0.27,7/31/2026,9.4503,0,1.9538,0.1538,9.7728,0,0,1.0889,11.5579,10.8617,OK
INF194K01JU0,INF194K01JU0,3.32,8/15/2026,0.3872,0,0,0,0,0,0,0,0.3872,0,OK
